Zip Code,Beds,Baths,Living Space,State,Zip Code Population,Median Household Income,Price
10013,2,3,1967,New York,29563,370046,3999000
10013,2,3,1967,New York,29563,370046,3999000
10014,1,1,718,New York,29815,249880,1650000
10014,3,2,1538,New York,29815,249880,760000
10014,1,1,600,New York,29815,249880,1100000
10017,1,1,643,New York,15514,188289,764900
10021,2,2,1471,New York,42484,261254,2499000
10022,2,3,1800,New York,33303,281977,4580000
10026,2,1,750,New York,39401,117438,540000
10026,1,1,589,New York,39401,117438,570000
10026,3,1,1200,New York,39401,117438,699999
10026,1,1,650,New York,39401,117438,380000
10028,1,1,950,New York,47793,270845,725000
10030,2,1,825,New York,31611,77559,899000
10034,1,1,615,New York,43365,87559,180000
10036,1,1,832,New York,30437,148933,1150000
10128,1,1,780,New York,58147,224663,665000
10128,1,,625,New York,58147,224663,685000
10301,6,2,1920,New York,38736,118113,950000
10301,4,2,1853,New York,38736,118113,750000
10301,24,10,7200,New York,38736,118113,2490000
10301,4,3,1980,New York,38736,118113,1148888
10301,3,1,2288,New York,38736,118113,998000
10301,4,2,2511,New York,38736,118113,849000
10301,2,1,1200,New York,38736,118113,575000
10301,2,1,,New York,38736,118113,575000
10301,2,1,800,New York,38736,118113,225000
10301,4,3,1644,New York,38736,118113,579999
10301,3,2,1476,New York,38736,118113,525000
10301,1,1,596,New York,38736,118113,260000
10301,6,2,2039,New York,38736,118113,699999
10301,5,3,2288,New York,38736,118113,998000
10301,3,1,1692,New York,38736,118113,658888
10301,3,2,1486,New York,38736,118113,689900
10301,7,2,2256,New York,38736,118113,490000
10301,6,2,1920,New York,38736,118113,950000
10302,5,1,,New York,18144,94902,865000
10302,2,2,1008,New York,18144,94902,585000
10302,3,4,3033,New York,18144,94902,1199999
10302,4,,1544,New York,18144,94902,548000
10302,5,3,2816,New York,18144,94902,680000
10302,4,2,2156,New York,18144,94902,649900
10302,3,4,3033,New York,18144,94902,1199999
10303,4,3,1872,New York,27469,98699,799000
10303,3,2,1274,New York,27469,98699,475000
10303,3,1,895,New York,27469,98699,315000
10303,2,3,804,New York,27469,98699,669000
10303,4,4,1872,New York,27469,98699,779000
10303,3,3,1434,New York,27469,98699,649900
10303,4,4,1872,New York,27469,98699,779000
10303,3,3,1434,New York,27469,98699,649900
10303,4,2,1628,New York,27469,98699,785000
10303,4,5,628,New York,27469,98699,799000
10303,2,2,980,New York,27469,98699,389000
10304,4,1,2425,New York,43849,108942,698888
10304,3,2,1102,New York,43849,108942,375000
10304,3,2,1102,New York,43849,108942,375000
10304,3,2,1110,New York,43849,108942,650000
10304,3,3,1152,New York,43849,108942,579999
10304,3,4,4629,New York,43849,108942,1189000
10304,3,2,1080,New York,43849,108942,369000
10304,3,2,1110,New York,43849,108942,650000
10304,3,4,2281,New York,43849,108942,649000
10304,2,1,648,New York,43849,108942,387999
10304,5,3,1334,New York,43849,108942,649899
10304,3,3,2700,New York,43849,108942,680000
10305,2,2,1080,New York,44531,109945,848000
10305,5,2,2300,New York,44531,109945,880000
10305,4,5,3149,New York,44531,109945,1399900
10305,3,1,1100,New York,44531,109945,2500
10305,8,3,3584,New York,44531,109945,1375000
10305,3,3,1936,New York,44531,109945,949000
10305,3,2,1272,New York,44531,109945,628000
10305,3,2,1272,New York,44531,109945,628000
10305,3,3,1936,New York,44531,109945,949000
10306,7,5,3160,New York,55805,118424,1500000
10306,2,2,1364,New York,55805,118424,499999
10306,6,2,2554,New York,55805,118424,1150000
10306,3,1,1280,New York,55805,118424,399000
10306,2,1,548,New York,55805,118424,247450
10306,4,3,2388,New York,55805,118424,1245000
10306,3,3,1170,New York,55805,118424,765000
10306,5,3,2184,New York,55805,118424,949999
10306,3,2,1480,New York,55805,118424,599000
10306,5,3,2184,New York,55805,118424,949999
10306,3,3,1170,New York,55805,118424,765000
10306,2,3,1500,New York,55805,118424,575000
10306,3,2,1750,New York,55805,118424,798000
10306,6,5,2892,New York,55805,118424,1375000
10306,3,3,1040,New York,55805,118424,765000
10306,3,2,1480,New York,55805,118424,599000
10307,3,3,1754,New York,14828,145667,939000
10307,3,3,1754,New York,14828,145667,939000
10307,3,2,1975,New York,14828,145667,989900
10308,1,1,700,New York,30353,136486,1800
10308,3,2,1040,New York,30353,136486,625000
10308,2,2,1690,New York,30353,136486,589000
10308,4,2,2206,New York,30353,136486,725000
10308,3,2,1274,New York,30353,136486,3200
10308,5,3,2674,New York,30353,136486,1250000
10308,4,3,2088,New York,30353,136486,888888
10308,2,2,1690,New York,30353,136486,589000
10308,6,5,3550,New York,30353,136486,1579900
10308,3,2,1040,New York,30353,136486,625000
10308,2,2,1690,New York,30353,136486,589000
10309,4,3,2630,New York,35832,144776,879999
10309,3,2,1008,New York,35832,144776,739999
10309,4,4,2920,New York,35832,144776,1378000
10309,4,4,3528,New York,35832,144776,1249999
10309,4,3,1500,New York,35832,144776,785000
10309,3,2,1600,New York,35832,144776,799000
10309,4,4,1800,New York,35832,144776,849888
10309,2,1,1100,New York,35832,144776,2200
10309,3,3,1480,New York,35832,144776,649998
10309,4,3,2630,New York,35832,144776,859999
10309,4,4,3305,New York,35832,144776,1050000
10309,3,4,3300,New York,35832,144776,1299999
10309,4,3,2880,New York,35832,144776,1299900
10309,2,1,1100,New York,35832,144776,499999
10309,4,4,2920,New York,35832,144776,1378000
10309,3,2,1008,New York,35832,144776,739999
10310,4,4,4500,New York,25976,118232,1750000
10310,3,3,1680,New York,25976,118232,839000
10310,2,1,1243,New York,25976,118232,549899
10310,3,2,1649,New York,25976,118232,699999
10310,4,3,1216,New York,25976,118232,629000
10310,4,3,1838,New York,25976,118232,699000
10310,3,2,1450,New York,25976,118232,549000
10310,3,3,1140,New York,25976,118232,499999
10312,4,2,2000,New York,63935,133355,869000
10312,4,4,2650,New York,63935,133355,1488888
10312,3,2,2510,New York,63935,133355,824888
10312,2,2,1530,New York,63935,133355,549999
10312,2,2,1350,New York,63935,133355,599000
10312,1,1,717,New York,63935,133355,264900
10312,3,2,1280,New York,63935,133355,688000
10312,4,4,3552,New York,63935,133355,1299999
